Start	End	Direction	Weight
hsa:1869	hsa:1870	0	1
hsa:1869	hsa:1871	0	1
hsa:1869	hsa:5925	0	1
hsa:613	hsa:1398	0	1
hsa:613	hsa:1399	0	1
hsa:613	hsa:6776	0	1
hsa:613	hsa:6777	0	1
hsa:613	hsa:4609	0	1
hsa:613	hsa:25759	0	1
hsa:613	hsa:399694	0	1
hsa:613	hsa:53358	0	1
hsa:613	hsa:6464	0	1
hsa:613	hsa:2885	0	1
hsa:595	hsa:5925	0	1
hsa:25	hsa:613	0	1
hsa:25	hsa:1398	0	1
hsa:25	hsa:1399	0	1
hsa:25	hsa:6776	0	1
hsa:25	hsa:6777	0	1
hsa:25	hsa:4609	0	1
hsa:25	hsa:25759	0	1
hsa:25	hsa:399694	0	1
hsa:25	hsa:53358	0	1
hsa:25	hsa:6464	0	1
hsa:25	hsa:2885	0	1
hsa:3551	hsa:8517	0	1
hsa:3551	hsa:4792	0	1
hsa:1147	hsa:3551	0	1
hsa:1147	hsa:8517	0	1
hsa:1147	hsa:4792	0	1
hsa:8517	hsa:4792	0	1
hsa:4193	hsa:7157	0	1
hsa:572	hsa:598	0	1
hsa:208	hsa:1027	0	1
hsa:208	hsa:572	0	1
hsa:208	hsa:4193	0	1
hsa:208	hsa:1147	0	1
hsa:208	hsa:3551	0	1
hsa:208	hsa:8517	0	1
hsa:6777	hsa:598	0	1
hsa:6776	hsa:6777	0	1
hsa:6776	hsa:598	0	1
hsa:207	hsa:208	0	1
hsa:207	hsa:1027	0	1
hsa:207	hsa:572	0	1
hsa:207	hsa:4193	0	1
hsa:207	hsa:1147	0	1
hsa:207	hsa:3551	0	1
hsa:207	hsa:8517	0	1
hsa:10000	hsa:207	0	1
hsa:10000	hsa:208	0	1
hsa:10000	hsa:1027	0	1
hsa:10000	hsa:572	0	1
hsa:10000	hsa:4193	0	1
hsa:10000	hsa:1147	0	1
hsa:10000	hsa:3551	0	1
hsa:10000	hsa:8517	0	1
hsa:1021	hsa:595	0	1
hsa:5970	hsa:4792	0	1
hsa:1019	hsa:1021	0	1
hsa:1019	hsa:595	0	1
hsa:1029	hsa:1019	0	1
hsa:1029	hsa:1021	0	1
hsa:1029	hsa:4193	0	1
hsa:4790	hsa:5970	0	1
hsa:4790	hsa:4792	0	1
hsa:5594	hsa:5595	0	1
hsa:5605	hsa:5594	0	1
hsa:5605	hsa:5595	0	1
hsa:5604	hsa:5605	0	1
hsa:5604	hsa:5594	0	1
hsa:5604	hsa:5595	0	1
hsa:2885	hsa:6654	0	1
hsa:2885	hsa:6655	0	1
hsa:2885	hsa:9846	0	1
hsa:6654	hsa:6655	0	1
hsa:6654	hsa:3265	0	1
hsa:6654	hsa:3845	0	1
hsa:6654	hsa:4893	0	1
hsa:6655	hsa:3265	0	1
hsa:6655	hsa:3845	0	1
hsa:6655	hsa:4893	0	1
hsa:673	hsa:5604	0	1
hsa:673	hsa:5605	0	1
hsa:369	hsa:5894	0	1
hsa:369	hsa:673	0	1
hsa:369	hsa:5604	0	1
hsa:369	hsa:5605	0	1
hsa:9846	hsa:5781	0	1
hsa:9846	hsa:5290	0	1
hsa:9846	hsa:5291	0	1
hsa:9846	hsa:5293	0	1
hsa:9846	hsa:5295	0	1
hsa:9846	hsa:5296	0	1
hsa:9846	hsa:8503	0	1
hsa:5894	hsa:673	0	1
hsa:5894	hsa:5604	0	1
hsa:5894	hsa:5605	0	1
hsa:867	hsa:1398	0	1
hsa:867	hsa:1399	0	1
hsa:3845	hsa:4893	0	1
hsa:3845	hsa:369	0	1
hsa:3845	hsa:5894	0	1
hsa:3845	hsa:673	0	1
hsa:4893	hsa:369	0	1
hsa:4893	hsa:5894	0	1
hsa:4893	hsa:673	0	1
hsa:1026	hsa:1019	0	1
hsa:1026	hsa:1021	0	1
hsa:3265	hsa:3845	0	1
hsa:3265	hsa:4893	0	1
hsa:3265	hsa:369	0	1
hsa:3265	hsa:5894	0	1
hsa:3265	hsa:673	0	1
hsa:1647	hsa:4616	0	1
hsa:10912	hsa:1647	0	1
hsa:10912	hsa:4616	0	1
hsa:7157	hsa:51426	0	1
hsa:7157	hsa:1643	0	1
hsa:7157	hsa:578	0	1
hsa:7157	hsa:581	0	1
hsa:7157	hsa:10912	0	1
hsa:7157	hsa:1647	0	1
hsa:7157	hsa:4616	0	1
hsa:7157	hsa:1026	0	1
hsa:5295	hsa:5296	0	1
hsa:5295	hsa:8503	0	1
hsa:5296	hsa:8503	0	1
hsa:5291	hsa:5293	0	1
hsa:5291	hsa:5295	0	1
hsa:5291	hsa:5296	0	1
hsa:5291	hsa:8503	0	1
hsa:5290	hsa:5291	0	1
hsa:5290	hsa:5293	0	1
hsa:5290	hsa:5295	0	1
hsa:5290	hsa:5296	0	1
hsa:5290	hsa:8503	0	1
hsa:5293	hsa:5295	0	1
hsa:5293	hsa:5296	0	1
hsa:5293	hsa:8503	0	1
hsa:1398	hsa:1399	0	1
hsa:1398	hsa:5290	0	1
