Start	End	Direction	Weight
hsa:10000	hsa:207	0	1
hsa:10000	hsa:2475	0	1
hsa:10000	hsa:208	0	1
hsa:10000	hsa:572	0	1
hsa:10000	hsa:842	0	1
hsa:10000	hsa:2932	0	1
hsa:1647	hsa:4616	0	1
hsa:207	hsa:208	0	1
hsa:207	hsa:842	0	1
hsa:207	hsa:2475	0	1
hsa:207	hsa:2932	0	1
hsa:207	hsa:572	0	1
hsa:10912	hsa:1647	0	1
hsa:10912	hsa:4616	0	1
hsa:5595	hsa:3725	0	1
hsa:5595	hsa:2353	0	1
hsa:5595	hsa:4609	0	1
hsa:7157	hsa:51426	0	1
hsa:7157	hsa:578	0	1
hsa:7157	hsa:1643	0	1
hsa:7157	hsa:10912	0	1
hsa:7157	hsa:581	0	1
hsa:7157	hsa:4616	0	1
hsa:7157	hsa:1647	0	1
hsa:7157	hsa:1026	0	1
hsa:5594	hsa:4609	0	1
hsa:5594	hsa:5595	0	1
hsa:5594	hsa:3725	0	1
hsa:5594	hsa:2353	0	1
hsa:5604	hsa:5605	0	1
hsa:5604	hsa:5595	0	1
hsa:5604	hsa:5594	0	1
hsa:4609	hsa:595	0	1
hsa:5605	hsa:5595	0	1
hsa:5605	hsa:5594	0	1
hsa:5894	hsa:5604	0	1
hsa:5894	hsa:673	0	1
hsa:5894	hsa:5605	0	1
hsa:673	hsa:5604	0	1
hsa:673	hsa:5605	0	1
hsa:2885	hsa:6655	0	1
hsa:2885	hsa:6654	0	1
hsa:369	hsa:673	0	1
hsa:369	hsa:5894	0	1
hsa:369	hsa:5605	0	1
hsa:369	hsa:5604	0	1
hsa:1499	hsa:6932	0	1
hsa:1499	hsa:51176	0	1
hsa:1499	hsa:83439	0	1
hsa:1499	hsa:6934	0	1
hsa:83439	hsa:595	0	1
hsa:83439	hsa:332	0	1
hsa:83439	hsa:4609	0	1
hsa:6932	hsa:83439	0	1
hsa:6932	hsa:6934	0	1
hsa:6932	hsa:4609	0	1
hsa:6932	hsa:595	0	1
hsa:6932	hsa:332	0	1
hsa:6934	hsa:83439	0	1
hsa:6934	hsa:4609	0	1
hsa:6934	hsa:595	0	1
hsa:6934	hsa:332	0	1
hsa:51176	hsa:6934	0	1
hsa:51176	hsa:6932	0	1
hsa:51176	hsa:595	0	1
hsa:51176	hsa:83439	0	1
hsa:51176	hsa:332	0	1
hsa:51176	hsa:4609	0	1
hsa:5296	hsa:8503	0	1
hsa:5296	hsa:207	0	1
hsa:5296	hsa:10000	0	1
hsa:5296	hsa:208	0	1
hsa:2932	hsa:1499	0	1
hsa:8503	hsa:10000	0	1
hsa:8503	hsa:208	0	1
hsa:8503	hsa:207	0	1
hsa:5293	hsa:5296	0	1
hsa:5293	hsa:5295	0	1
hsa:5293	hsa:10000	0	1
hsa:5293	hsa:8503	0	1
hsa:5293	hsa:208	0	1
hsa:5293	hsa:207	0	1
hsa:842	hsa:26060	0	1
hsa:5295	hsa:8503	0	1
hsa:5295	hsa:5296	0	1
hsa:5295	hsa:207	0	1
hsa:5295	hsa:10000	0	1
hsa:5295	hsa:208	0	1
hsa:1950	hsa:1956	0	1
hsa:5291	hsa:5293	0	1
hsa:5291	hsa:5296	0	1
hsa:5291	hsa:5295	0	1
hsa:5291	hsa:10000	0	1
hsa:5291	hsa:8503	0	1
hsa:5291	hsa:208	0	1
hsa:5291	hsa:207	0	1
hsa:1630	hsa:842	0	1
hsa:5290	hsa:5291	0	1
hsa:5290	hsa:5295	0	1
hsa:5290	hsa:5293	0	1
hsa:5290	hsa:8503	0	1
hsa:5290	hsa:5296	0	1
hsa:5290	hsa:207	0	1
hsa:5290	hsa:10000	0	1
hsa:5290	hsa:208	0	1
hsa:581	hsa:596	0	1
hsa:2069	hsa:1956	0	1
hsa:7039	hsa:1956	0	1
hsa:374	hsa:1956	0	1
hsa:572	hsa:596	0	1
hsa:5366	hsa:596	0	1
hsa:1956	hsa:5290	0	1
hsa:1956	hsa:5293	0	1
hsa:1956	hsa:5291	0	1
hsa:1956	hsa:5296	0	1
hsa:1956	hsa:5295	0	1
hsa:1956	hsa:2885	0	1
hsa:1956	hsa:8503	0	1
hsa:10018	hsa:596	0	1
hsa:27113	hsa:596	0	1
hsa:26060	hsa:836	0	1
hsa:836	hsa:1630	0	1
hsa:5880	hsa:5881	0	1
hsa:5880	hsa:5601	0	1
hsa:5880	hsa:5599	0	1
hsa:5880	hsa:5602	0	1
hsa:5881	hsa:5599	0	1
hsa:5881	hsa:5602	0	1
hsa:5881	hsa:5601	0	1
hsa:387	hsa:5880	0	1
hsa:387	hsa:5879	0	1
hsa:387	hsa:5599	0	1
hsa:387	hsa:5881	0	1
hsa:387	hsa:5602	0	1
hsa:387	hsa:5601	0	1
hsa:5879	hsa:5881	0	1
hsa:5879	hsa:5880	0	1
hsa:5879	hsa:5601	0	1
hsa:5879	hsa:5599	0	1
hsa:5879	hsa:5602	0	1
hsa:5899	hsa:5879	0	1
hsa:5899	hsa:387	0	1
hsa:5899	hsa:5881	0	1
hsa:5899	hsa:5880	0	1
hsa:5898	hsa:5899	0	1
hsa:5898	hsa:5879	0	1
hsa:5898	hsa:387	0	1
hsa:5898	hsa:5881	0	1
hsa:5898	hsa:5880	0	1
hsa:5900	hsa:5898	0	1
hsa:5900	hsa:5899	0	1
hsa:5601	hsa:5602	0	1
hsa:4893	hsa:5894	0	1
hsa:4893	hsa:369	0	1
hsa:4893	hsa:673	0	1
hsa:5599	hsa:5602	0	1
hsa:5599	hsa:5601	0	1
hsa:3265	hsa:4893	0	1
hsa:3265	hsa:3845	0	1
hsa:3265	hsa:5894	0	1
hsa:3265	hsa:369	0	1
hsa:3265	hsa:673	0	1
hsa:3845	hsa:4893	0	1
hsa:3845	hsa:5894	0	1
hsa:3845	hsa:369	0	1
hsa:3845	hsa:5900	0	1
hsa:3845	hsa:673	0	1
hsa:3845	hsa:5291	0	1
hsa:3845	hsa:5290	0	1
hsa:3845	hsa:5295	0	1
hsa:3845	hsa:5293	0	1
hsa:3845	hsa:8503	0	1
hsa:3845	hsa:5296	0	1
hsa:6655	hsa:3265	0	1
hsa:6655	hsa:4893	0	1
hsa:6655	hsa:3845	0	1
hsa:3725	hsa:595	0	1
hsa:6654	hsa:6655	0	1
hsa:6654	hsa:3845	0	1
hsa:6654	hsa:3265	0	1
hsa:6654	hsa:4893	0	1
hsa:2353	hsa:595	0	1
hsa:6198	hsa:6199	0	1
hsa:208	hsa:842	0	1
