Start	End	Direction	Weight
hsa:5604	hsa:5594	0	1
hsa:5604	hsa:5605	0	1
hsa:5604	hsa:5595	0	1
hsa:673	hsa:5605	0	1
hsa:673	hsa:5604	0	1
hsa:3845	hsa:5894	0	1
hsa:3845	hsa:369	0	1
hsa:3845	hsa:4893	0	1
hsa:3845	hsa:673	0	1
hsa:369	hsa:5894	0	1
hsa:369	hsa:5604	0	1
hsa:369	hsa:673	0	1
hsa:369	hsa:5605	0	1
hsa:5894	hsa:673	0	1
hsa:5894	hsa:5605	0	1
hsa:5894	hsa:5604	0	1
hsa:5296	hsa:8503	0	1
hsa:1956	hsa:2885	0	1
hsa:1956	hsa:5291	0	1
hsa:1956	hsa:5290	0	1
hsa:1956	hsa:5295	0	1
hsa:1956	hsa:5293	0	1
hsa:1956	hsa:8503	0	1
hsa:1956	hsa:5296	0	1
hsa:1950	hsa:1956	0	1
hsa:5293	hsa:5295	0	1
hsa:5293	hsa:8503	0	1
hsa:5293	hsa:5296	0	1
hsa:5295	hsa:8503	0	1
hsa:5295	hsa:5296	0	1
hsa:5595	hsa:2002	0	1
hsa:3265	hsa:4893	0	1
hsa:3265	hsa:3845	0	1
hsa:3265	hsa:5894	0	1
hsa:3265	hsa:369	0	1
hsa:3265	hsa:673	0	1
hsa:5290	hsa:5293	0	1
hsa:5290	hsa:5291	0	1
hsa:5290	hsa:5296	0	1
hsa:5290	hsa:5295	0	1
hsa:5290	hsa:8503	0	1
hsa:5594	hsa:5595	0	1
hsa:5594	hsa:2002	0	1
hsa:4893	hsa:369	0	1
hsa:4893	hsa:673	0	1
hsa:4893	hsa:5894	0	1
hsa:5291	hsa:5293	0	1
hsa:5291	hsa:5296	0	1
hsa:5291	hsa:5295	0	1
hsa:5291	hsa:8503	0	1
hsa:6655	hsa:3265	0	1
hsa:6655	hsa:4893	0	1
hsa:6655	hsa:3845	0	1
hsa:6654	hsa:6655	0	1
hsa:6654	hsa:3845	0	1
hsa:6654	hsa:3265	0	1
hsa:6654	hsa:4893	0	1
hsa:2885	hsa:6655	0	1
hsa:2885	hsa:6654	0	1
hsa:5605	hsa:5594	0	1
hsa:5605	hsa:5595	0	1
