Start	End	Direction	Weight
hsa:5579	hsa:5582	0	1
hsa:5579	hsa:5894	0	1
hsa:5579	hsa:369	0	1
hsa:5579	hsa:673	0	1
hsa:5578	hsa:5582	0	1
hsa:5578	hsa:5579	0	1
hsa:5578	hsa:5894	0	1
hsa:5578	hsa:369	0	1
hsa:5578	hsa:673	0	1
hsa:5582	hsa:369	0	1
hsa:5582	hsa:673	0	1
hsa:5582	hsa:5894	0	1
hsa:6655	hsa:3265	0	1
hsa:6655	hsa:4893	0	1
hsa:6655	hsa:3845	0	1
hsa:6654	hsa:6655	0	1
hsa:6654	hsa:3845	0	1
hsa:6654	hsa:3265	0	1
hsa:6654	hsa:4893	0	1
hsa:2885	hsa:6655	0	1
hsa:2885	hsa:6654	0	1
hsa:5296	hsa:8503	0	1
hsa:1871	hsa:5925	0	1
hsa:1869	hsa:1871	0	1
hsa:1869	hsa:1870	0	1
hsa:1869	hsa:5925	0	1
hsa:1029	hsa:1021	0	1
hsa:1029	hsa:1019	0	1
hsa:11186	hsa:595	0	1
hsa:11186	hsa:6789	0	1
hsa:11186	hsa:83593	0	1
hsa:5295	hsa:5296	0	1
hsa:5295	hsa:8503	0	1
hsa:1870	hsa:1871	0	1
hsa:1870	hsa:5925	0	1
hsa:1019	hsa:1021	0	1
hsa:1019	hsa:595	0	1
hsa:673	hsa:5604	0	1
hsa:673	hsa:5605	0	1
hsa:1021	hsa:595	0	1
hsa:7039	hsa:1956	0	1
hsa:7039	hsa:2064	0	1
hsa:5894	hsa:5604	0	1
hsa:5894	hsa:673	0	1
hsa:5894	hsa:5605	0	1
hsa:369	hsa:673	0	1
hsa:369	hsa:5894	0	1
hsa:369	hsa:5605	0	1
hsa:369	hsa:5604	0	1
hsa:5291	hsa:5293	0	1
hsa:5291	hsa:5296	0	1
hsa:5291	hsa:5295	0	1
hsa:5291	hsa:8503	0	1
hsa:5290	hsa:5293	0	1
hsa:5290	hsa:5291	0	1
hsa:5290	hsa:5296	0	1
hsa:5290	hsa:5295	0	1
hsa:5290	hsa:8503	0	1
hsa:5293	hsa:5295	0	1
hsa:5293	hsa:8503	0	1
hsa:5293	hsa:5296	0	1
hsa:595	hsa:5925	0	1
hsa:1956	hsa:5335	0	1
hsa:1956	hsa:5290	0	1
hsa:1956	hsa:5336	0	1
hsa:1956	hsa:5293	0	1
hsa:1956	hsa:5291	0	1
hsa:1956	hsa:2885	0	1
hsa:5335	hsa:5336	0	1
hsa:3845	hsa:83593	0	1
hsa:3845	hsa:4893	0	1
hsa:3845	hsa:5894	0	1
hsa:3845	hsa:369	0	1
hsa:3845	hsa:5290	0	1
hsa:3845	hsa:673	0	1
hsa:3845	hsa:5293	0	1
hsa:3845	hsa:5291	0	1
hsa:3845	hsa:5296	0	1
hsa:3845	hsa:5295	0	1
hsa:3845	hsa:8503	0	1
hsa:5594	hsa:5595	0	1
hsa:5594	hsa:595	0	1
hsa:3265	hsa:3845	0	1
hsa:3265	hsa:369	0	1
hsa:3265	hsa:4893	0	1
hsa:3265	hsa:673	0	1
hsa:3265	hsa:5894	0	1
hsa:4893	hsa:369	0	1
hsa:4893	hsa:673	0	1
hsa:4893	hsa:5894	0	1
hsa:2064	hsa:5335	0	1
hsa:2064	hsa:5290	0	1
hsa:2064	hsa:5336	0	1
hsa:2064	hsa:5293	0	1
hsa:2064	hsa:5291	0	1
hsa:2064	hsa:2885	0	1
hsa:1950	hsa:2064	0	1
hsa:1950	hsa:1956	0	1
hsa:5595	hsa:595	0	1
hsa:27436	hsa:3265	0	1
hsa:27436	hsa:3718	0	1
hsa:27436	hsa:4893	0	1
hsa:27436	hsa:3845	0	1
hsa:27436	hsa:5291	0	1
hsa:27436	hsa:5290	0	1
hsa:27436	hsa:5293	0	1
hsa:5605	hsa:5594	0	1
hsa:5605	hsa:5595	0	1
hsa:5604	hsa:5594	0	1
hsa:5604	hsa:5605	0	1
hsa:5604	hsa:5595	0	1
hsa:238	hsa:3718	0	1
hsa:238	hsa:27436	0	1
hsa:238	hsa:3845	0	1
hsa:238	hsa:3265	0	1
hsa:238	hsa:5290	0	1
hsa:238	hsa:4893	0	1
hsa:238	hsa:5293	0	1
hsa:238	hsa:5291	0	1
hsa:3718	hsa:6774	0	1
hsa:3718	hsa:6777	0	1
hsa:3718	hsa:6776	0	1
hsa:6774	hsa:6777	0	1
hsa:6774	hsa:6776	0	1
hsa:6776	hsa:6777	0	1
