Start	End	Direction	Weight
hsa:2033	hsa:7157	0	1
hsa:1387	hsa:7157	0	1
hsa:1387	hsa:2033	0	1
hsa:9586	hsa:1387	0	1
hsa:9586	hsa:2033	0	1
hsa:84699	hsa:9586	0	1
hsa:84699	hsa:90993	0	1
hsa:84699	hsa:2033	0	1
hsa:84699	hsa:1387	0	1
hsa:6934	hsa:83439	0	1
hsa:6934	hsa:595	0	1
hsa:1027	hsa:1017	0	1
hsa:9134	hsa:5925	0	1
hsa:83439	hsa:595	0	1
hsa:90993	hsa:1387	0	1
hsa:90993	hsa:9586	0	1
hsa:90993	hsa:2033	0	1
hsa:898	hsa:9134	0	1
hsa:898	hsa:5925	0	1
hsa:468	hsa:64764	0	1
hsa:468	hsa:90993	0	1
hsa:468	hsa:84699	0	1
hsa:468	hsa:1387	0	1
hsa:468	hsa:9586	0	1
hsa:468	hsa:2033	0	1
hsa:2932	hsa:10488	0	1
hsa:2932	hsa:1499	0	1
hsa:2932	hsa:148327	0	1
hsa:2932	hsa:1385	0	1
hsa:2932	hsa:64764	0	1
hsa:2932	hsa:468	0	1
hsa:2932	hsa:90993	0	1
hsa:2932	hsa:84699	0	1
hsa:2932	hsa:9586	0	1
hsa:64764	hsa:84699	0	1
hsa:64764	hsa:9586	0	1
hsa:64764	hsa:90993	0	1
hsa:64764	hsa:2033	0	1
hsa:64764	hsa:1387	0	1
hsa:6932	hsa:83439	0	1
hsa:6932	hsa:6934	0	1
hsa:6932	hsa:595	0	1
hsa:51176	hsa:6934	0	1
hsa:51176	hsa:6932	0	1
hsa:51176	hsa:595	0	1
hsa:51176	hsa:83439	0	1
hsa:208	hsa:2932	0	1
hsa:208	hsa:1026	0	1
hsa:208	hsa:1027	0	1
hsa:208	hsa:572	0	1
hsa:208	hsa:2308	0	1
hsa:208	hsa:2475	0	1
hsa:208	hsa:842	0	1
hsa:208	hsa:3551	0	1
hsa:208	hsa:1147	0	1
hsa:208	hsa:4193	0	1
hsa:208	hsa:8517	0	1
hsa:1385	hsa:468	0	1
hsa:1385	hsa:148327	0	1
hsa:1385	hsa:84699	0	1
hsa:1385	hsa:64764	0	1
hsa:1385	hsa:9586	0	1
hsa:1385	hsa:90993	0	1
hsa:1385	hsa:2033	0	1
hsa:1385	hsa:1387	0	1
hsa:10488	hsa:1385	0	1
hsa:10488	hsa:468	0	1
hsa:10488	hsa:148327	0	1
hsa:10488	hsa:84699	0	1
hsa:10488	hsa:64764	0	1
hsa:10488	hsa:9586	0	1
hsa:10488	hsa:90993	0	1
hsa:10488	hsa:2033	0	1
hsa:10488	hsa:1387	0	1
hsa:1871	hsa:5925	0	1
hsa:148327	hsa:64764	0	1
hsa:148327	hsa:468	0	1
hsa:148327	hsa:90993	0	1
hsa:148327	hsa:84699	0	1
hsa:148327	hsa:1387	0	1
hsa:148327	hsa:9586	0	1
hsa:148327	hsa:2033	0	1
hsa:1869	hsa:1871	0	1
hsa:1869	hsa:1870	0	1
hsa:1869	hsa:5925	0	1
hsa:207	hsa:8517	0	1
hsa:207	hsa:3551	0	1
hsa:207	hsa:4193	0	1
hsa:207	hsa:208	0	1
hsa:207	hsa:1027	0	1
hsa:207	hsa:2932	0	1
hsa:207	hsa:2308	0	1
hsa:207	hsa:1026	0	1
hsa:207	hsa:842	0	1
hsa:207	hsa:572	0	1
hsa:207	hsa:1147	0	1
hsa:207	hsa:2475	0	1
hsa:10000	hsa:208	0	1
hsa:10000	hsa:207	0	1
hsa:10000	hsa:1027	0	1
hsa:10000	hsa:2932	0	1
hsa:10000	hsa:2308	0	1
hsa:10000	hsa:1026	0	1
hsa:10000	hsa:842	0	1
hsa:10000	hsa:572	0	1
hsa:10000	hsa:1147	0	1
hsa:10000	hsa:2475	0	1
hsa:10000	hsa:8517	0	1
hsa:10000	hsa:3551	0	1
hsa:10000	hsa:4193	0	1
hsa:1870	hsa:1871	0	1
hsa:1870	hsa:5925	0	1
hsa:5170	hsa:207	0	1
hsa:5170	hsa:10000	0	1
hsa:5170	hsa:208	0	1
hsa:1499	hsa:51176	0	1
hsa:1499	hsa:6934	0	1
hsa:1499	hsa:6932	0	1
hsa:1499	hsa:1387	0	1
hsa:1499	hsa:83439	0	1
hsa:1499	hsa:2033	0	1
hsa:1017	hsa:898	0	1
hsa:1017	hsa:9134	0	1
hsa:4193	hsa:7157	0	1
hsa:4790	hsa:5970	0	1
hsa:4790	hsa:4792	0	1
hsa:4790	hsa:596	0	1
hsa:5970	hsa:4792	0	1
hsa:5970	hsa:596	0	1
hsa:3551	hsa:8517	0	1
hsa:3551	hsa:4792	0	1
hsa:4824	hsa:207	0	1
hsa:4824	hsa:10000	0	1
hsa:4824	hsa:208	0	1
hsa:1147	hsa:8517	0	1
hsa:1147	hsa:3551	0	1
hsa:1147	hsa:4792	0	1
hsa:8517	hsa:4792	0	1
