Start	End	Direction	Weight
hsa:2549	hsa:5781	0	1
hsa:2549	hsa:2885	0	1
hsa:2549	hsa:1399	0	1
hsa:2549	hsa:1398	0	1
hsa:2549	hsa:5291	0	1
hsa:2549	hsa:5290	0	1
hsa:2549	hsa:5295	0	1
hsa:2549	hsa:5293	0	1
hsa:2549	hsa:8503	0	1
hsa:2549	hsa:5296	0	1
hsa:2549	hsa:5781	0	1
hsa:2549	hsa:2885	0	1
hsa:2549	hsa:1399	0	1
hsa:2549	hsa:1398	0	1
hsa:2549	hsa:5291	0	1
hsa:2549	hsa:5290	0	1
hsa:2549	hsa:5295	0	1
hsa:2549	hsa:5293	0	1
hsa:2549	hsa:8503	0	1
hsa:2549	hsa:5296	0	1
hsa:10000	hsa:208	0	1
hsa:10000	hsa:207	0	1
hsa:10000	hsa:207	0	1
hsa:10000	hsa:572	0	1
hsa:10000	hsa:572	0	1
hsa:10000	hsa:208	0	1
hsa:2885	hsa:6655	0	1
hsa:2885	hsa:6654	0	1
hsa:2885	hsa:6655	0	1
hsa:2885	hsa:6654	0	1
hsa:207	hsa:572	0	1
hsa:207	hsa:208	0	1
hsa:207	hsa:572	0	1
hsa:207	hsa:208	0	1
hsa:8503	hsa:207	0	1
hsa:8503	hsa:10000	0	1
hsa:8503	hsa:10000	0	1
hsa:8503	hsa:208	0	1
hsa:8503	hsa:208	0	1
hsa:8503	hsa:207	0	1
hsa:5295	hsa:8503	0	1
hsa:5295	hsa:5296	0	1
hsa:5295	hsa:207	0	1
hsa:5295	hsa:10000	0	1
hsa:5295	hsa:5296	0	1
hsa:5295	hsa:208	0	1
hsa:5295	hsa:10000	0	1
hsa:5295	hsa:8503	0	1
hsa:5295	hsa:208	0	1
hsa:5295	hsa:207	0	1
hsa:5296	hsa:10000	0	1
hsa:5296	hsa:8503	0	1
hsa:5296	hsa:208	0	1
hsa:5296	hsa:207	0	1
hsa:5296	hsa:10000	0	1
hsa:5296	hsa:8503	0	1
hsa:5296	hsa:208	0	1
hsa:5296	hsa:207	0	1
hsa:5291	hsa:5295	0	1
hsa:5291	hsa:5293	0	1
hsa:5291	hsa:8503	0	1
hsa:5291	hsa:5296	0	1
hsa:5291	hsa:207	0	1
hsa:5291	hsa:10000	0	1
hsa:5291	hsa:5293	0	1
hsa:5291	hsa:208	0	1
hsa:5291	hsa:5296	0	1
hsa:5291	hsa:5295	0	1
hsa:5291	hsa:10000	0	1
hsa:5291	hsa:8503	0	1
hsa:5291	hsa:208	0	1
hsa:5291	hsa:207	0	1
hsa:5290	hsa:5293	0	1
hsa:5290	hsa:5291	0	1
hsa:5290	hsa:5296	0	1
hsa:5290	hsa:5295	0	1
hsa:5290	hsa:10000	0	1
hsa:5290	hsa:8503	0	1
hsa:5290	hsa:208	0	1
hsa:5290	hsa:207	0	1
hsa:5290	hsa:5293	0	1
hsa:5290	hsa:5291	0	1
hsa:5290	hsa:5296	0	1
hsa:5290	hsa:5295	0	1
hsa:5290	hsa:10000	0	1
hsa:5290	hsa:8503	0	1
hsa:5290	hsa:208	0	1
hsa:5290	hsa:207	0	1
hsa:5293	hsa:5296	0	1
hsa:5293	hsa:5295	0	1
hsa:5293	hsa:10000	0	1
hsa:5293	hsa:8503	0	1
hsa:5293	hsa:208	0	1
hsa:5293	hsa:207	0	1
hsa:5293	hsa:5296	0	1
hsa:5293	hsa:5295	0	1
hsa:5293	hsa:10000	0	1
hsa:5293	hsa:8503	0	1
hsa:5293	hsa:208	0	1
hsa:5293	hsa:207	0	1
hsa:3082	hsa:4233	0	1
hsa:3082	hsa:4233	0	1
hsa:4233	hsa:2549	0	1
hsa:4233	hsa:2885	0	1
hsa:4233	hsa:2549	0	1
hsa:4233	hsa:2885	0	1
hsa:5595	hsa:2113	0	1
hsa:5595	hsa:3725	0	1
hsa:5595	hsa:2113	0	1
hsa:5595	hsa:3725	0	1
hsa:5594	hsa:3725	0	1
hsa:5594	hsa:5595	0	1
hsa:5594	hsa:5595	0	1
hsa:5594	hsa:2113	0	1
hsa:5594	hsa:2113	0	1
hsa:5594	hsa:3725	0	1
hsa:5605	hsa:5595	0	1
hsa:5605	hsa:5594	0	1
hsa:5605	hsa:5595	0	1
hsa:5605	hsa:5594	0	1
hsa:673	hsa:5605	0	1
hsa:673	hsa:5604	0	1
hsa:673	hsa:5605	0	1
hsa:673	hsa:5604	0	1
hsa:2889	hsa:5908	0	1
hsa:2889	hsa:5906	0	1
hsa:2889	hsa:5908	0	1
hsa:2889	hsa:5906	0	1
hsa:5604	hsa:5594	0	1
hsa:5604	hsa:5605	0	1
hsa:5604	hsa:5605	0	1
hsa:5604	hsa:5595	0	1
hsa:5604	hsa:5595	0	1
hsa:5604	hsa:5594	0	1
hsa:369	hsa:673	0	1
hsa:369	hsa:5894	0	1
hsa:369	hsa:5605	0	1
hsa:369	hsa:5604	0	1
hsa:369	hsa:673	0	1
hsa:369	hsa:5894	0	1
hsa:369	hsa:5605	0	1
hsa:369	hsa:5604	0	1
hsa:5906	hsa:5908	0	1
hsa:5906	hsa:5908	0	1
hsa:5894	hsa:5604	0	1
hsa:5894	hsa:673	0	1
hsa:5894	hsa:673	0	1
hsa:5894	hsa:5605	0	1
hsa:5894	hsa:5605	0	1
hsa:5894	hsa:5604	0	1
hsa:6654	hsa:6655	0	1
hsa:6654	hsa:6655	0	1
hsa:208	hsa:572	0	1
hsa:208	hsa:572	0	1
hsa:5781	hsa:5595	0	1
hsa:5781	hsa:5594	0	1
hsa:5781	hsa:5595	0	1
hsa:5781	hsa:5594	0	1
hsa:1399	hsa:2889	0	1
hsa:1399	hsa:2889	0	1
hsa:1398	hsa:2889	0	1
hsa:1398	hsa:1399	0	1
hsa:1398	hsa:2889	0	1
hsa:1398	hsa:1399	0	1
