Driver_Nodes,Target_Nodes
"['TSC1', 'p16', 'DHPG', 'TCR', 'MEKK4', 'MAML2', 'GAA', 'TGFBR2', 'PMCA', 'RAR', 'MAPK13', 'PDPK1', 'Gia', 'IAP', 'CAP', 'GR', 'ELK3', 'MADD', 'CASP7', 'ACTIN', 'LIMK1', 'HGS', 'COPS5', 'EF1A', 'MEF2D', 'CTBP2', 'METS', 'GATA1', 'AKAP', 'SNCA', 'PDE4D', 'EPPK1', 'GP130', 'TERT', 'NCS1', 'STAT2', 'PLCE', 'MST1R']","['EIF4F', 'IKK2', 'PKR', 'ASK1', 'CBL', 'CASP10', 'EPPK1', 'PROFILIN', 'FANCF', 'GR', 'TSC1', 'GRIM19', 'RNPK', 'DLL1', 'CCND1', 'RXR', 'LEF1', 'cIAP2', 'SRP54', 'Gbg', 'NTF5', 'IRAK', 'NOS1', 'IAP', 'CD3', 'DNAPK', 'CREB', 'PLCb', 'MGLUR1', 'NOTCH2', 'MEK6', 'COPS5', 'HSP27', 'HDAC2', 'CK1d', 'IGF1', 'RGS16', 'LCK', 'DFFB', 'POR1', 'PSMC4', 'TNFR1', 'Gb', 'PARD3', 'EEF2K', 'p67phox', 'LIMK1', 'IL2', 'TGFB3', 'SH2D3C', 'CDK2', 'P1433', 'MYT1', 'PDPK1', 'MST1R', 'pGC', 'PMCA', 'ZNF259', 'TOR', 'ECM', 'GATA1', 'PLSCR1', 'CTBP2', 'IQGAP', 'DP103', 'ISGF3G', 'TEP1', 'RSK', 'PDE4D', 'GP130', 'PLCE', 'NCS1', 'CLIP170', 'PARP', 'SRPR', 'EIF4A', 'AKAP', 'CAMK2A', 'DR3', 'p38gamma', 'HGS']"
"['TREH', 'LRP6', 'ROCK2', 'EGR2', 'INSR', 'IL9', 'NUR77', 'MGLUR7', 'ZAP70', 'PCNA', 'TID1', 'HIST3H3', 'ARNO', 'NOS1', 'PRKCD', 'TRKB', 'FAN', 'NGF', 'SODD', 'MLCK', 'SDF1', 'CEBPA', 'LYN', 'ANF', 'MEF2D', 'PQCaCh', 'ANKYRIN', 'BIP', 'SMO', 'PLCg-2', 'TALIN', 'AKAP13', 'CDC25A', 'PDE3B', 'SLC25A4', 'MUPP1', 'STK11IP', 'eIF2B']","['DG', 'PRKCD', 'STK11IP', 'NUR77', 'GBETAGAMMA', 'TGFBRAP1', 'KINESIN', 'SKP2', 'SPRED2', 'JAK3', 'NBS1', 'TIRAP', 'PICK1', 'N-WASP', 'CAV2', 'Bmf', 'RAD17', 'ZFHX1B', 'MAPK11', 'ETS2', 'PPP1CC', 'Cn', 'NAKED', 'PHKA2', 'CCNE1', 'CPI17', 'PDE3A', 'LMNB1', 'CLTC', 'FKHRL1', 'BNIP3', 'SNX2', 'MRLC', 'NHERF', 'p25', 'CLATHRIN', 'IL12', 'CEBPA', 'ILK', 'CARM1', 'ARP3', 'Zyxin', 'AGTR2', 'CCNA2', 'PKCE', 'CALNEXIN', 'TRKB', 'FCER1A', 'KIR41', 'ATF2', 'CYCS', 'NFAT', 'APS', 'AC2', 'PSD93', 'CDC42', 'ZAP70', 'SLC25A4', 'ARNO', 'JAG2', 'NGFR', 'STAMBPL1', 'LRP6', 'IRS2', 'MUPP1', 'GLI3', 'VCL', 'CLOCK', 'BETAARRESTIN', 'STAT1', 'PDE3B', 'FZD2', 'SLP-76', 'SYNAPSIN', 'L1', 'AKAP13', 'eIF2B', 'CDC25A', 'BRCA1', 'SMPD2', 'SYNTAXIN']"
"['LRP5', 'MEKK3', '14-3-3', 'ARHGEF1', 'GAP', 'XAP2', 'HIPK2', 'JAK1', 'DAP10', 'EPS15', 'VANGL2', 'ARF1', 'CERAMIDE', 'ACK', 'Sin3', 'KIR41', 'TLR2', 'IL1R', 'TAB2', 'ROCK2', 'CASP9', 'SRA1', 'CD3', 'Dynein', 'FAK', 'RXR', 'ID1', 'CDC37', 'EBP1', 'PATZ', 'SPDEF', 'BAG1', 'PRMT1', 'AXIN2', 'DELTA', 'IGF1', 'EBP', 'BDNF', 'IL1B', 'ICAT', 'Acinus', 'GLI1']","['BAG1', 'GLI1', 'PDGFRA', 'ARF1', 'ARAD', 'ABI2', 'POLR1B', 'FGR', 'CUL1', 'BDNF', 'ACTR', 'E3', 'PKAc', 'MYOSINV', '7TMR', 'CRE', 'SYNDECAN', 'TBPIP', 'DAP10', 'FHL2', 'SKI', 'TLR1', 'TIEG2', 'MDM2', 'IKBA', 'JNK', 'DENSIN', 'MEKK3', 'ITGA6', 'SNAP25', 'GAS2', 'NOS3', 'SMAD7', 'CBLB', 'PIP3', 'IL1R', 'LRP5', 'POTASSIUM', 'AHR', 'FANCC', 'VANGL2', 'MITR', 'EPS15', 'CEM15', 'PPARA', 'MAGEA1', 'RSK2', 'STAT5', 'CSNK1E', 'PPP2R5C', 'JIP', 'PATZ', 'STAT6', 'SPDEF', 'DCP1', 'EBP1', 'WNT2', 'GKAP', 'Rho', 'CDC37', 'Acinus', 'PRMT1', 'IL8', 'p68', 'CRMP2', 'MAPK9', 'MIP1A', 'CDK1', 'TAU', 'PSMD4', 'DKK2', 'MYB', 'BTRC', 'ICAT', 'TCR', 'Graf', 'BCR', 'NEUROLIGIN', 'MCF2', 'MAP4K3', 'CALMODULIN']"
"['DOK', 'LRP', 'MAML2', 'PLCD1', 'NOS3', 'NFAT', 'MEK3', 'PAR1', 'CAMK', 'CD14', 'TGFBR2', 'FRS2', 'PLCg-2', 'CDC27', 'PKG', 'ICAT', 'UBE2D3', 'DOC2', 'SYNGAP', 'PRKAR1B', 'AXIN', 'c-Myc', 'IKKy', 'GAQ', 'MAPKAP-K3', 'GRIT', 'TSC2', 'CASP7', 'PBP', 'EIF3S2', 'ROCK2', 'MTOR', 'PTPRO', 'SOCS5', 'ARF4', 'PITPN', 'Rad54l2', 'TFIIH', 'GJA1', 'TYK2', 'APOER2', 'ITM2B', 'FODRIN']","['EBP', 'DD', 'cIAP', 'TR4', 'p300', 'NMDAR', 'GRAP', 'FRIZZLED', 'NAIP', 'I-FLICE', 'ATP', 'CAM', 'TEC', 'CORTACTIN', 'FZD8', 'IRS1', 'GCK', 'MAML2', 'HMGN1', 'Rad54l2', 'SYNGAP', 'CD44', 'MNK2', 'BIRC5', 'PRKAR1B', 'STAT3', 'SHP2', 'TCF12', 'ARF4', 'JUND', 'PTEN', 'MAML3', 'BID', 'NME1', 'DOK', 'AXIN2', 'FOXH1', 'LRP', 'Akt', 'TALIN', 'CAMK', 'NO', 'RALB', 'PITPN', 'IKKy', 'DHH', 'SMAD3', 'MAPKAP-K3', 'STAT2', 'p14ARF', 'HMG1', 'AGTR1', 'FODRIN', 'PTPB1', 'ITM2B', 'GJA1', 'MAPK13', 'CDC27', 'DNAJ', 'GFR', 'TGFB2', 'DAB1', 'PLCg-2', 'EPS8', 'MLCP', 'GRIT', 'ALPHACATENIN', 'cAMPGEFII', 'ISRE', 'PKC', 'CAD', 'SOCS5', 'TFIIH', 'PTPRO', 'DOC2', 'BCL10', 'PBP', 'EIF3S2', 'GSK3B', 'FES', 'MAP4K1']"
"['HUS1', 'METS', 'CDK4', 'PROFILIN', 'MEF2D', 'THC', 'c-JUN', 'GLYR', 'AHR', 'RKIP', 'SEROTONIN', 'CK1d', 'ID1', 'NOV', 'cAR', 'GAQ', 'ATM', 'CAMKK', 'MADD', 'ALDOA', 'KRT18', 'PDE1A', 'ARA55', 'ARA70', 'NSD1', 'SVIL', 'ADDUCIN', 'SF1', 'EIF3S1', 'PKD', 'KRT17', 'APO2L', 'GAB1', 'WNT6', 'GAP', 'E2F5', 'ERBB2', 'TFIID', 'FBI1', 'MUSK', 'RIN']","['PP1', 'ADDUCIN', 'TUBULIN', 'PKD', 'FAS', 'bARK', 'NCOR', 'ADPRIBSYCYCLASE', 'HIVEP3', 'SYNTROPHIN', 'GDP', 'EIF3S1', 'SOS1', 'MET', 'KRT17', 'HDAC1', 'ACTIN', 'BPAG1', 'RIIa', 'LPL', 'VAV3', 'IL6R', 'CBP', 'TAB1', 'HUS1', 'CSK', 'GAB1', 'VLDLR', 'GEPHYRIN', 'RIP140', 'CTBP1', 'Hsp90', 'SP1', 'CCL11', 'VASP', 'MEF2D', 'LMNA', 'SnoN', 'METS', 'p55gamma', 'NTYPECA', 'TFIID', 'HEY1', 'TGM2', 'GC2', 'MUSK', 'GRP94', 'ARA70', 'p38', 'NSD1', 'CCND2', 'GLYR', 'SVIL', 'MYF5', 'CAMKIV', 'STK36', 'TLR2', 'RIN', 'Ser-prot', 'SORCIN', 'ARA55', 'PDE1A', 'PLASMIN', 'PLK3', 'RAD9', 'E2F4', 'UBC9', 'NOV', 'SUMO1', 'TCF4', 'GAP', 'ADAPTIN', 'E2F5', 'GALPHAZ', 'MADD', 'XIAP', 'FBI1', 'SMAD4', 'SF1', 'CHK2', 'YOTIAO']"
"['PLK3', 'CRKL', 'Gy', 'TSC1', 'ETS2', 'SHH', 'MYT1', 'SMAD1', 'SHANK', 'PDZGEF', 'FANCF', 'CAVEOLIN', 'PICK1', 'HIPK2', 'VCL', 'HES6', 'CAMKPASE', 'ALPHAACTININ', 'TERT', 'IKBB', 'IL4', 'MUNC18', 'TGFB', 'RAIDD', 'MADD', 'APO2L', 'E3B1', 'Hsp40', 'MDM2', 'PAK1', 'CORTACTIN', 'CDC34', 'MLK3', 'RIP140', 'PAR2', 'CDK9', 'Alg-2']","['LAMR1', '37530', 'SENP1', 'WNT3', 'C3G', 'SOD', 'BLNK', 'COFILIN2', 'CSL', 'SHANK', 'EF1A', 'CCR5', 'Gy', 'FADD', 'TGFBR2', 'PDE2', 'PTCH', 'NEDD8', 'HAND2', 'GADD45', 'RKIP', 'RPS6', 'PAR2', 'Glycogen', 'VAMP', 'Miz1', 'RIN1', 'KB', 'NASCENTCHAIN', 'FXR', 'IL4R', 'MURR1', '4-1BBL', 'TLR10', 'ARF', 'JAK1', 'MIP1B', 'CRKL', 'SRE', 'ITGA1', 'RAP30', 'CDC25C', 'SH3GL3', 'ACTN1', 'RAIDD', 'MINT', 'PLD', 'VAV', 'HIPK2', 'ID1', 'ARIP2', 'BAX', 'CDC34', 'AP2B1', 'POLR2A', 'LTYPECA', 'ZEB1', 'INPP5A', 'PCAF', 'SNAPIN', 'RYR', 'SMAD1', 'E3B1', 'SDF1', 'DAX-1', 'APO2L', 'Hrk', 'H3', 'CLCA1', 'SODD', 'TP53BP1', 'RAF1', 'IL9', 'LFG', 'CRM1', 'RLC', 'CASP6', 'Alg-2', 'Cd++', 'GAS', 'ANKYRIN']"
"['TNF', 'c-JUN', 'DOC2', 'HUS1', 'S1P', 'MAGI3', 'PROKR1', 'HERP1', 'RASGRF', 'TID1', 'FRP', 'REPS2', 'GR', 'FANCD2', 'CAMP', 'STAT5B', 'GAB', 'CCND2', 'TGFBR3', 'RELN', 'ABP1', 'FCER1A', 'mDIA', 'FAN', 'HGF', 'MTOR', 'RPTK', 'RAL', 'ATF3', 'ELK3', 'MGLUR7', 'Idax', 'NUP153', 'UBE2D3', 'SOX1', 'FZR1', 'SMARCA4', 'p16', 'CHK1', 'RNTRE', 'KPNB1']","['RB', 'APOER2', 'STRAP', 'HIP1', 'FRP', 'DISHEVELED', 'S1P', 'SPTAN1', 'HGF', 'TLR4', 'PTC', 'WNT', 'CDK9', 'NUP153', 'MTOR', 'TNFR2', 'p53', 'HMG2', 'O2', 'ID2', 'SMAD2', 'G1', 'ABL1', 'BIP', 'KRT18', 'ELK3', 'MUNC13', 'krm', 'IKKA', 'CCND3', 'TREH', 'CD19', 'GRB2', 'PKA', 'FZR1', 'mDIA', 'CDK4', 'TLR7', 'TCF7', 'PKCz', 'G2', 'ERBIN', 'CHK1', 'Sin3', 'HBO1', 'RAD1', 'RPTK', 'IL3', 'TNF', 'EGFR', 'HERP1', 'PICCOLO', 'GTP', 'ATF3', 'MKP1', 'B2AR', 'RAL', 'CAVEOLIN', 'FANCD2', 'KPNB1', 'RASGRF', 'Idax', 'CHREBP', 'RNTRE', 'GIPC', 'hsp70', 'PFN1', 'SOX1', 'MERLIN', 'FAN', 'CASP7', 'Ryk', 'NICD', 'SKP1', 'M1R', 'ARNT', 'c-JUN', 'ASAP1', 'Bcl-w', 'GCSF', 'FAK']"
"['FKBP', 'RAR', 'ASK1', 'JUND', 'RANBP9', 'PTCH', 'P130Cas', 'TNF', 'ACH', 'PKN2', 'TAMALIN', 'PKCz', 'CAMP', 'CAMKPASE', 'NUMB', 'RB', 'MEF2C', 'RASGRP3', 'ISRE', 'FKHRL1', 'HIF1A', 'ARP3', 'NOTCH3', 'CAMKK', 'CAMK1', 'TSC2', 'IRAK4', 'STAP1', 'FGF', 'SPAL', 'PP2A', 'GAB', 'Sara', 'ADDUCIN', 'GLUT4', 'P35611']","['TNIP1', 'KV41', 'IL13RA1', 'RAR', 'FZD7', 'SH3KBP1', 'CTNND1', 'AFX', 'MAP4K6', 'CAPRI', 'GAT1', 'PDE1B', 'AXIN', 'A-Raf', 'TLR5', 'ID3', 'NUMB', 'NCK2', 'CLCA2', 'RANBP9', 'NFYA', 'CB1R', 'ICAD', 'RASGRP3', 'SAC', 'TLR3', 'PKN2', 'M2R', 'WNT7A', 'GALPHAO', 'SMO', 'PR-A', 'CAMKK', 'STAP1', 'DYNAMIN', 'BIK', 'PRKCI', 'A20', 'DARPP-32', 'Calpain1', 'HES5', 'Noxa', 'RICS', 'TAX', 'IL4', 'CAMK1', 'MRE11', 'SPAL', 'MKK7', 'FOSB', 'RADIXIN', 'SMAD6', 'GLUT4', 'IRAK4', 'HIF1A', 'MLK3', 'p85', 'GATA4', 'ECSIT', 'FKBP', 'FHL1', 'KV12', 'FASLG', 'TAMALIN', 'PAX8', 'p70s6K', 'PP2A', 'CALCINEURIN', 'CNG', 'CALM3', 'PTK', 'FORKHEAD', 'P130Cas', 'P35611', 'CEACAM1', 'MAML1', 'FGF', 'ROCK2', 'CCT4', 'PDK1', 'CRIPT']"
"['PER', 'MD-2', 'ETS2', 'WNT7A', 'NLK', 'MEK5', 'APPL2', 'PLSCR1', 'ER', 'NFAT', 'IFN-yR', 'CAP', 'p70s6K', 'CHAPSYN110', 'PIN1', 'THC', 'SOCS3', 'FANCA', 'LTYPECA', 'ITGB4BP', 'POFUT1', 'cPLA2', 'PLCD1', 'Dynein', 'GRE', 'CABIN1', 'EDG2', 'NOTCH2', 'ACT', 'HIF1A', 'MAP3K2', 'SOCS1', 'CCL5', 'DIA', 'SEK', 'GAP43']","['NIK', 'CHLORIDE', 'SHH', 'ICA512', 'MD-2', 'EIF-4EBP', 'TUBBY', 'MST3', 'ACVRL1', 'GAB2', 'PROKR1', 'DCP1A', 'AKAP15', 'BNIP3L', 'STAT4', 'DAG', '37165', 'DAPK', 'ACT', 'EGR1', 'H1', 'PRKCG', 'Dynein', 'NCK', 'WAVE1', 'DVL2', 'GROUCHO', 'MTA2', 'ITGB4BP', 'NFYC', 'EIF4G', 'CCNB1', 'SSCAM', 'HDAC5', 'PP2C', 'FANCA', 'CTSD', 'H2O2', 'CCL5', 'YES', 'GRE', 'RELA', 'SRF', 'MAP1B', 'MARCKS', 'RALGDS', 'PLCD1', 'EDG2', 'S6', 'IFN-yR', 'BMAL1', 'HCK', 'PEN2', 'GABAAR', 'TFIIB', 'BIM', 'TLR6', 'GPCR', 'NLK', 'SNAI1', 'GRB10', 'JNKK1', 'FANCE', 'DIA', 'SOCS1', 'MBD3', 'TCF', 'glucocorticoid', 'PIN1', 'CASP1', 'SEK', 'SMPD1', 'FOS', 'JAG1', 'GAP43', 'GHR', 'TRAF6', 'Estrogen', 'KIR21', 'SOCS3', 'YY1']"
"['CAMK2', 'tRNA', 'AIP4', 'CD40', 'ENDOPHILIN', 'TREH', 'MAGI3', 'SPECTRIN', 'RIP140', 'FKBP12', 'Dopamine', 'MUNC18', 'UBE2D3', 'CCNE1', 'MAP3K2', 'RET', 'ADDUCIN', 'JIP', 'SPRY', 'PAK1', 'PPARB', 'TFDP2', 'ARHGAP1', 'BTK', 'DHPG', 'ADPRIBSYCYCLASE', 'ARA54', 'STUB1', 'MTA2', 'ERb', 'UXT', 'SAP18', 'TRAF3', 'ISRE', 'CD4', 'FAF', 'NOTCH4', 'GCAP']","['PTPN12', 'INSR', 'GRIP', 'WAVE2', 'ETS1', 'ANF', 'NDUFS1', 'CTCF', 'RUVBL1', 'MAP1A', 'p110Ia', 'EPOR', 'CKI', 'EIF2B', 'AC1', 'RAP1A', 'SNIP1', 'MIG1', 'ARRB2', 'INHIBITOR2', 'cIAP1', 'SNW1', 'IGF1R', 'IL1A', 'STUB1', 'N41', 'PDGFR', 'COMPLEXIN', 'RAD50', 'VELI1', 'VILIP', 'IBP', 'ERb', 'cPLA2', 'MAP3K2', 'JAK2', 'Era', 'PPP3R2', 'PIAS', 'TRX', 'FKBP12', 'CCNB2', 'KIT', 'SPECTRIN', 'CHOP10', 'ENDOPHILIN', 'SP3', 'IKKe', 'MUNC18', 'CHAPSYN110', 'SYNAPTOPHYSIN', 'E2F1', 'DLL4', 'UXT', 'p6', 'RET', 'RAD51', 'FGFR', 'CAMK2', 'D2R', 'RIP', 'GCAP', 'ANAPC2', 'PAX2', 'MAGI3', 'E1A', 'SPRY', 'BTK', 'PIP5K', 'APPL2', 'cADPR', 'tRNA', 'PRK2', 'SAP97', 'TFDP2', 'p85beta', 'PAK1', 'ARA54', 'FAF', 'TANK', 'REPS2']"
