Alpha_Node,Total_Support
CLTA,644
CCM2,-104
PTPN5,-460
PIK3C2A,402
PRPH,126
DSG1,136
RPS7,298
AVPR1B,1106
CDH9,202
OR4F15,772
GLYCAM1,148
MT-CO3,154
NCAPH,134
RHOQ,634
IL15,228
WIF1,22
AICDA,138
PPP3R1,326
ANAPC1,412
ADORA1,756
GRK7,46
HADHB,146
STAP1,206
PTCH2,152
OFD1,360
DFFB,240
DGKB,358
FGD4,108
CYP3A7,-46
NPBWR1,1108
NFATC1,-738
GOSR1,146
HSPA9,158
AMN,146
OR10G7,770
ITGB7,168
TFAP2B,144
POLR2L,-438
FEN1,120
FOXO3,-44
PLA2G2F,138
KLK6,142
GATA1,172
SMAD1,-664
NOG,122
GYS2,148
RAD50,120
CD44,-248
ANAPC2,406
AURKB,212
OR2AJ1,1094
PCBP2,160
OR2T5,770
PTPN7,-614
DLAT,140
EIF1AX,296
RHO,1094
ZIC2,146
DNAH8,204
FGF2,276
CCL13,184
TPR,-12
IFNAR2,-210
ADAM17,114
OR3A2,770
ARD1A,136
MAML3,176
OR2W3,770
ITGA4,172
FHL5,138
SCP2,180
GRK6,872
SRGAP2,108
SYK,-524
FOXA1,-302
ADRB3,762
PLA2G12A,138
NCOA6,52
NCOA4,142
HIC1,44
TMSB4X,-64
RND2,126
NPY2R,150
CCR3,776
DKFZP586M0622,-340
ABR,108
CLSPN,62
RASSF5,236
MAP3K14,-124
HMGN2,48
SEMA3G,146
DNAL4,328
TBX21,-278
FGF5,236
RBP2,118
TWIST1,140
IGLV3-25,164
NR3C1,-698
FGF4,142
DKFZP586M1622,262
SOCS5,622
UBE2V1,166
VAMP8,164
TBPL1,44
CDC2L2,84
OR7G2,876
RPL13,280
EBI3,316
PCDHGA5,198
TIMP1,-206
PGAP1,142
IGKV2-24,164
PRKAG1,-212
OR5L2,876
CFI,144
B3GAT3,212
OR10C1,770
SOX1,142
CPOX,150
MAPKAPK3,-430
TPM4,154
ZNFX1,-204
IFT57,-4
HDAC9,66
CHD8,142
MAPT,-406
TRPV1,236
LIG1,150
MPL,496
FMN1,134
COQ7,48
DNAJC3,290
HTR4B,820
ARAF,348
EXOC8,142
ERCC1,-124
APCS,48
LEP,256
CACNB3,106
NODAL,178
CACNA2D2,88
HOXD4,118
GNAT2,1296
SNX15,172
IRF4,-396
DGKZ,358
SLC25A31,146
PI4KA,-348
CD9,90
LILRB2,160
ABLIM3,126
PARK7,142
EDN1,-312
FGF6,228
CDH18,198
RPS6KA4,-106
KIR3DL1,204
PPP1R15A,214
RASGRF2,156
SLC16A8,140
ACACB,-64
MYLC2B,-56
BRF1,198
BAX,272
NOX3,-124
MRE11A,120
TOPBP1,132
FZD9,218
CHP2,342
IL28RA,286
PDHA1,-332
OR4D1,770
TLN2,256
MYO16,-4
PCDHB18,198
DACT1,902
OR5V1,876
OR4D6,770
RPS6KA3,222
ANKRD1,186
NOD1,-24
ARHGAP25,108
CEBPA,-684
DGKD,358
CCND1,-478
ILP3,116
ECM1,98
KCNIP3,-264
RGS14,210
IL27RA,344
DAPP1,456
PDGFC,186
PHC1,134
RPS15,300
HOXA4,134
PIP5K1C,86
P2RX5,144
ERBB3,-12
TF,64
CALML6,-190
REV3L,118
ANP32A,138
LRIG1,92
CCNT1,120
ARF6,386
RBBP4,-246
HIST3H2A,70
MCM5,338
LAMB3,336
MICALL1,336
TP53AIP1,146
PIK3CB,606
F2,122
TAS2R46,168
PKN3,94
GRIN2A,126
PDE1C,158
DOCK1,232
WDR12,150
SFRS4,256
DDB1,-126
SPRED1,28
MAPK4,380
IRF9,328
POU2AF1,74
BUB1B,154
RGS13,344
ARHGAP18,108
NOV,168
CD177,152
CDC7,112
BHLHB2,162
GNAI1,-320
RFFL,176
EIF2S1,138
DKFZP686P05226,352
CDON,132
PYGM,162
MED1,-522
SLC10A1,150
STX1A,140
AQP1,48
VGF,60
CANX,144
DEPDC7,108
GRB7,202
TAC3,150
PCDHGB7,198
SPIC,66
OR51E1,770
SMPD2,272
FIGF,154
OSMR,276
CAV2,210
CCL14,172
PAEP,136
APOA1,224
OR4K3,1094
TOP1,148
IFNA17,-316
CRH,148
IGBP1,128
PLXNA2,148
LRP4,218
ITGAL,-54
OR10A2,770
GDF7,176
GUCY2F,148
DHX38,252
MYH6,106
CMTM2,98
CALML3,-200
RHOD,462
