Alpha_Node,Total_Support
CKS1B,-250
FCER2,-248
VCAM1,-248
EGR3,-248
TERT,-250
CD58,-248
PGAM2,-250
IL5,-248
CCND1,-248
BHLHE40,-248
IL17A,-248
PER1,-248
TFAP4,-250
RORC,-248
VEGFB,-250
PSEN1,-248
ARNTL,-232
IL12A,-250
IDO2,-248
MMP2,-250
IL18RAP,-248
RCAN1,-248
NR1D1,-238
IFNB1,-248
VEGFA,-250
IL12RB2,-248
NOTCH2,-248
HKDC1,-250
IL12RB1,-248
ENTPD1,-248
IFNG,-248
HEY1,-248
SLC2A1,-250
IL4R,-248
HES6,-248
CCND2,-250
GLS2,-250
CXCL8,-250
IL21,-248
IL2,-248
BHLHE41,-248
IL17F,-248
HEY2,-248
HES5,-248
TRAF5,-248
IL4,-250
CXCL3,-248
HES4,-248
VEGFD,-250
MIR21,-383
NPPA,-383
TGFA,-383
ALDOA,-383
PDK1,-383
EDN1,-383
ANGPT1,-383
CDKN1A,-383
TGFB2,-383
FLT1,-383
TGFB3,-383
LTBR,-383
PFKL,-383
PGK1,-383
BNIP3L,-383
FGF2,-383
ENO2,-383
HK1,-385
GAPDH,-383
ENO4,-383
CXCL2,-383
PGAM1,-385
FIGF,-385
BCL2,-383
ANGPT4,-383
TGFB1,-383
EPO,-383
ANGPT2,-383
BNIP3,-383
TF,-383
HIF1A,-383
HMOX1,-383
NOS2,-383
VEGFC,-385
ENO1,-383
TFRC,-383
TIMP1,-383
HK2,-385
PKM,-385
PFKFB3,-383
PGAM4,-385
EGF,-383
PDGFB,-383
CDKN1B,-383
TEK,-383
HK3,-385
NOS3,-383
PGF,-385
PFKP,-383
LPL,-518
PDGFA,-518
CCL2,-518
BDNF,-518
STAR,-518
POLK,-518
RFWD2,-518
IFNE,-518
PDYN,-518
ZMAT3,-518
MMP7,-518
TP53AIP1,-518
RRM2,-518
IFNA13,-518
ZNF516,-518
CPT1C,-518
BBC3,-518
CEBPG,-518
IL1A,-518
NCEH1,-518
GRIA2,-518
AGER,-518
IFNA16,-518
SIVA1,-518
TYRP1,-518
ACOX1,-518
F3,-518
GADD45G,-518
PMAIP1,-518
RPRM,-518
G6PC,-518
UBC,-518
BAK1,-518
TNFRSF10A,-518
PDPK1,-518
TNFSF11,-518
FOSB,-466
MMP9,-520
RRM2B,-518
APAF1,-518
ACADL,-518
NFKBIA,-518
SLC1A5,-520
PLAU,-518
IFNA7,-518
EI24,-518
CCL13,-518
TP73,-518
IL8,-520
IDO1,-518
BIRC8,-518
BIRC2,-518
RGS2,-518
IL13,-518
F2R,-518
SELE,-518
IL15,-518
SLC2A2,-520
CDK4,-520
TRAF3,-518
IL2RA,-518
IL22,-518
BIRC7,-518
MAF,-518
ICAM1,-518
CTSK,-518
NFATC1,-516
TRAF4,-518
GATA3,-518
CD44,-518
MMP1,-520
IL15RA,-518
IL10,-518
TNF,-518
PTH,-518
PTGS2,-518
IL17D,-518
ERBB2,-518
RORB,-508
CCL19,-518
PER3,-518
XIAP,-518
TNFAIP3,-518
NPPB,-518
CKS2,-520
MYH7,-518
CCL21,-518
TBX21,-518
RORA,-518
CALCR,-518
EGR2,-518
ITGAL,-518
BIRC3,-518
HEYL,-518
CSF2,-518
ENTPD8,-518
CRY1,-518
GLS,-520
SESN2,-457
CPT1A,-457
ANGPTL4,-457
CCL4L1,-457
PERP,-457
SAT2,-457
CD82,-457
STEAP3,-457
CCL4,-457
SERPINB5,-457
ADGRB1,-457
CCL3,-457
IGFBP3,-457
HRK,-457
CCNG2,-457
THBS1,-457
TP53,-415
PTEN,-457
BID,-457
SAT1,-457
BAX,-457
SIAH1,-457
SLC7A11,-457
ACOX3,-457
FABP3,-457
SESN3,-457
PER2,-457
PPARD,-457
PPM1D,-457
TNFRSF10B,-457
RCHY1,-457
AIFM2,-457
ACOX2,-457
SHISA5,-457
GTSE1,-457
IL12B,-457
IL18R1,-457
TP53I3,-457
GADD45B,-457
FAS,-457
CCNG1,-457
ITGB3,-457
CCL3L1,-457
