Alpha_Node,Total_Support
TARS,339
CUL5,253
PHB,847
VEGFC,381
RAMP1,345
GPLD1,327
LATS1,319
CASC5,325
TCEB2,339
HIST3H2A,341
ATP2A1,289
KIAA0087,801
MECP2,307
RPS10,377
SSX2,339
CTDSP1,343
MAPK8IP2,241
SAC,343
RAD52,351
FHL1,345
CYR61,337
RPL22,679
CCL24,339
FLJ13305,339
HLA-DPA1,333
BMP1,347
RBBP6,389
PRKAA2,353
SRP14,341
CRABP2,339
CEACAM1,637
LNX,511
CRYBB1,343
PDIA4,341
FCER1G,311
Cep70,371
MEF2C,219
MPZ,341
SP110,339
TUBG2,681
RNF7,369
PGEA1,395
EIF2AK3,283
B4GALT1,339
NGB,305
KRT18,557
HIST1H2BN,341
LAT,577
PLAG1,297
JAK3,289
C3,133
LCN2,345
PCF11,343
SIT1,639
SLC8A1,341
DCHS1,337
HDAC8,333
PRKCB1,247
GH2,279
LSM3,357
TNPO3,345
RPL5,743
PTK9,301
MFAP2,337
SELENBP1,405
KIAA0774,323
ADAM9,329
GNAQ,251
TEAD3,341
TMPRSS3,329
EIF2C1,343
EPO,273
SSH3,339
IRS1,575
FBXO32,341
MGC17403,563
RASSF5,361
CSNK1D,783
NCR1,327
FLJ13149,539
PPP2R3B,357
SNAPC4,291
IGF1R,213
TRPV6,381
SLC6A1,351
MATN1,289
CSTF3,331
EGR4,331
ROCK1,199
RABL2B,341
CRY2,333
CRX,395
MBL2,289
SNRPC,101
ZNF440,399
SGCD,339
RAB40C,301
LRRC41,351
SOCS6,325
SPRY2,683
SELL,535
TSNAX,327
MUC1,685
CRH,347
LDB1,335
GUCY1A2,243
DDIT3,251
IL1RN,295
XAB1,325
STK16,301
PDGFRB,513
APBA3,317
PHIP,299
GAB1,459
PDE1A,307
PCTK2,343
WBP2,341
RPL3,653
LYL1,305
GNB2L1,415
SERPINB9,851
CXADR,117
CD1E,339
ANGPT1,281
FLJ12716,337
KIAA0672,341
PFDN5,317
STX1A,219
FKBP3,303
ROR1,339
BET1,343
EFCBP2,125
HEYL,347
PPP4R1,343
PRKACA,195
KIAA1107,339
TRAPPC4,337
TCEA1,327
MRPS12,31
MAD2L1BP,859
ITGB3BP,339
MRPL20,275
TSC22D3,101
GNRH1,343
MEA1,341
GADD45A,305
CLASP1,327
RHPN1,309
PIK4CA,343
PNN,329
FCAR,311
LGALS2,339
RCC1,273
UBXD2,285
KCNQ1,335
FXYD7,331
ASCL1,375
CD19,357
SDC4,303
CAP2,365
CDKN3,351
RPP30,337
PNOC,343
PPP1CB,299
CTLA4,173
DMAP1,343
FANCD2,179
DRP2,331
SND1,305
TOP2A,755
KIAA1539,539
GPS1,339
SSRP1,319
GABRA1,303
ZIC2,367
ANK3,207
CWF19L1,279
RBBP8,207
SERPINA5,287
NBEA,307
BST1,309
RNF146,341
STXBP1,333
PSG3,367
DLG3,259
APBB3,355
AXIN1,271
BIRC5,347
RPA3,323
EFNA4,283
SAP130,283
SEC13L1,345
NR2F6,215
MVP,761
WNK4,341
DDEF2,705
PRPF4,329
CDK5RAP1,343
EFTUD2,315
DAPK1,307
LOC113174,343
ACVR1C,335
THOC2,341
HDAC7A,203
RBM17,349
KRT5,319
TAC3,255
RAD51L3,357
STCH,333
ELN,323
GAPDH,657
CHML,339
RFK,337
LTBR,513
CAV3,203
DLL1,341
RAB3B,299
NDUFA5,519
SHC1,-181
DVL1,261
EMILIN1,345
CDC25A,365
FGF1,243
KIR3DL2,341
BAK1,823
CEBPA,235
SNF8,189
HTR6,341
AP3S2,341
MGC39520,341
AOC3,281
IFNGR1,295
RAB15,341
ACP1,355
REXO4,367
GPR125,343
GZMB,355
A2M,221
MYST2,301
MMP14,269
GHRHR,343
DKK1,397
CD97,327
ANGPTL1,297
CUTC,239
SLC4A2,345
AKAP6,339
C12orf12,467
BUB3,309
PPP4R2,343
PITX1,329
DSC2,331
NKRF,341
ANKRD6,361
OCLN,325
CLEC5A,351
CLDN7,335
HPR,343
RPS6KA4,295
FLJ12688,331
TFPT,329
ITGA11,299
PAX2,355
ARHGAP18,375
KLF4,815
DPP4,297
GNA13,465
GPR51,321
KPNA4,341
MGC16597,341
HOMER3,351
GBE1,343
PITPNA,181
DPH1,293
VCL,-955
SCNN1D,343
CCL2,351
MKL1,325
ENO2,299
TPD52L1,369
PLCD4,345
ODZ3,299
FCRL3,313
FBLN5,341
ALPP,345
FAM46B,343
XRCC2,345
CAMKV,339
NKX3-1,397
SFRS2,305
SIAH1,285
PAXIP1,253
PCQAP,363
FBXL4,341
