Alpha_Node,Total_Support
EIF4F,-163
IKK2,-157
PKR,-131
ASK1,-133
CBL,-101
CASP10,-123
EPPK1,-49
PROFILIN,-167
FANCF,-131
GR,-91
TSC1,-165
GRIM19,-167
RNPK,-163
DLL1,-183
CCND1,-135
RXR,-163
LEF1,-161
cIAP2,-133
SRP54,-159
Gbg,-91
NTF5,-155
IRAK,-121
NOS1,-163
IAP,-171
CD3,-163
DNAPK,-145
CREB,-187
PLCb,-113
MGLUR1,-157
NOTCH2,-153
MEK6,-147
COPS5,-117
HSP27,-159
HDAC2,-161
CK1d,-161
IGF1,-147
RGS16,-163
LCK,-99
DFFB,-163
POR1,-163
PSMC4,-155
TNFR1,-109
Gb,-79
PARD3,-263
EEF2K,-163
p67phox,-167
LIMK1,-165
IL2,-163
TGFB3,-167
SH2D3C,-163
CDK2,-137
P1433,-135
MYT1,-163
PDPK1,-135
MST1R,-165
pGC,-155
PMCA,-167
ZNF259,-55
TOR,-159
ECM,-163
GATA1,-163
PLSCR1,-107
CTBP2,-173
IQGAP,-139
DP103,-171
ISGF3G,-163
TEP1,-163
RSK,-159
PDE4D,-165
GP130,-37
PLCE,-165
NCS1,-163
CLIP170,-165
PARP,-155
SRPR,-159
EIF4A,-165
AKAP,-159
CAMK2A,-137
DR3,-131
p38gamma,-163
HGS,-143
DG,-116
PRKCD,-104
STK11IP,-186
NUR77,-124
GBETAGAMMA,-78
TGFBRAP1,-140
KINESIN,-114
SKP2,-102
SPRED2,-118
JAK3,-124
NBS1,-114
TIRAP,-82
PICK1,-116
N-WASP,-242
CAV2,-126
Bmf,-116
RAD17,-104
ZFHX1B,-118
MAPK11,-106
ETS2,-112
PPP1CC,-118
Cn,-112
NAKED,-118
PHKA2,-112
CCNE1,-112
CPI17,-112
PDE3A,-98
LMNB1,-118
CLTC,-30
FKHRL1,-110
BNIP3,-120
SNX2,-118
MRLC,-118
NHERF,-116
p25,-116
CLATHRIN,-98
IL12,-92
CEBPA,-116
ILK,-118
CARM1,-120
ARP3,-110
Zyxin,-114
AGTR2,-64
CCNA2,-102
PKCE,-110
CALNEXIN,-118
TRKB,-64
FCER1A,-118
KIR41,-114
ATF2,-112
CYCS,-120
NFAT,-122
APS,-96
AC2,-114
PSD93,-128
CDC42,-154
ZAP70,-120
SLC25A4,-28
ARNO,-116
JAG2,-116
NGFR,-88
STAMBPL1,-258
LRP6,-116
IRS2,-126
MUPP1,-94
GLI3,-118
VCL,-148
CLOCK,-114
BETAARRESTIN,-24
STAT1,-178
PDE3B,-116
FZD2,30
SLP-76,-118
SYNAPSIN,-196
L1,-98
AKAP13,-108
eIF2B,-116
CDC25A,-114
BRCA1,-114
SMPD2,-112
SYNTAXIN,-146
BAG1,-37
GLI1,-91
PDGFRA,-53
ARF1,-89
ARAD,-89
ABI2,-103
POLR1B,-91
FGR,-89
CUL1,-97
BDNF,-91
ACTR,-85
E3,-75
PKAc,-59
MYOSINV,-67
7TMR,-79
CRE,-89
SYNDECAN,-91
TBPIP,-37
DAP10,-65
FHL2,-37
SKI,-55
TLR1,-89
TIEG2,-89
MDM2,-67
IKBA,-77
JNK,-27
DENSIN,-83
MEKK3,-93
ITGA6,-101
SNAP25,-85
GAS2,-89
NOS3,-83
SMAD7,-63
CBLB,1
PIP3,-45
IL1R,-89
LRP5,-91
POTASSIUM,-89
AHR,-85
FANCC,-83
VANGL2,-101
MITR,-87
EPS15,-41
CEM15,-89
PPARA,-119
MAGEA1,-103
RSK2,-91
STAT5,-37
CSNK1E,-95
PPP2R5C,-59
JIP,-79
PATZ,-37
STAT6,-91
SPDEF,-37
DCP1,-85
EBP1,-37
WNT2,-37
GKAP,-81
Rho,-85
CDC37,-37
Acinus,-89
PRMT1,-37
IL8,-89
p68,-87
CRMP2,-91
MAPK9,-29
MIP1A,-89
CDK1,-89
TAU,-89
PSMD4,-99
DKK2,-85
MYB,-89
BTRC,-89
ICAT,-99
TCR,-87
Graf,-91
BCR,-91
NEUROLIGIN,-83
MCF2,-91
MAP4K3,-85
CALMODULIN,-49
EBP,-106
DD,-28
cIAP,-102
TR4,-38
p300,-96
NMDAR,-68
GRAP,-60
FRIZZLED,-94
NAIP,-98
I-FLICE,-90
ATP,-96
CAM,-62
TEC,-16
CORTACTIN,-104
FZD8,-100
IRS1,-88
GCK,-106
MAML2,-108
HMGN1,-106
Rad54l2,-38
SYNGAP,-88
CD44,-204
MNK2,-106
BIRC5,-100
PRKAR1B,-98
STAT3,-22
SHP2,-166
TCF12,-108
ARF4,-30
JUND,-100
PTEN,-102
MAML3,-112
BID,-100
NME1,-96
DOK,-68
AXIN2,-174
FOXH1,-68
LRP,-104
Akt,-68
TALIN,-82
CAMK,-102
NO,-102
RALB,-106
PITPN,-32
IKKy,-106
DHH,-106
SMAD3,-38
MAPKAP-K3,-102
STAT2,-108
p14ARF,-64
HMG1,-92
AGTR1,-90
FODRIN,-106
PTPB1,-108
ITM2B,-108
GJA1,-112
MAPK13,-104
CDC27,-66
DNAJ,-102
GFR,-78
TGFB2,-80
DAB1,-106
PLCg-2,-108
EPS8,-10
MLCP,-106
GRIT,-50
ALPHACATENIN,-80
cAMPGEFII,-96
ISRE,-92
PKC,-78
CAD,-90
SOCS5,-64
TFIIH,-38
PTPRO,-64
DOC2,-104
BCL10,-106
PBP,-104
EIF3S2,-78
GSK3B,-64
FES,-92
MAP4K1,-92
PP1,-121
ADDUCIN,-121
TUBULIN,-111
PKD,-39
FAS,-97
bARK,-57
NCOR,-123
ADPRIBSYCYCLASE,-117
HIVEP3,-117
SYNTROPHIN,-119
GDP,-123
EIF3S1,-117
SOS1,-13
MET,-121
KRT17,-43
HDAC1,-117
ACTIN,-129
BPAG1,-117
RIIa,-113
LPL,-119
VAV3,-39
IL6R,-117
CBP,-99
TAB1,-117
HUS1,-119
CSK,-123
GAB1,-123
VLDLR,-117
GEPHYRIN,-123
RIP140,-61
CTBP1,-111
Hsp90,-87
SP1,-21
CCL11,-119
VASP,-119
MEF2D,-117
LMNA,-121
SnoN,-73
METS,-123
p55gamma,-121
NTYPECA,-113
TFIID,-119
HEY1,-119
TGM2,-115
GC2,-119
MUSK,-119
GRP94,-121
ARA70,-61
p38,-101
NSD1,-61
CCND2,-115
GLYR,-119
SVIL,-61
MYF5,-121
CAMKIV,-113
STK36,-121
TLR2,-113
RIN,-119
Ser-prot,-119
SORCIN,-115
ARA55,-61
PDE1A,-115
PLASMIN,-119
PLK3,-117
RAD9,-125
E2F4,-117
UBC9,-61
NOV,-117
SUMO1,-101
TCF4,-43
GAP,-109
ADAPTIN,-115
E2F5,-99
GALPHAZ,-117
MADD,-101
XIAP,-103
FBI1,-121
SMAD4,21
SF1,-61
CHK2,-119
YOTIAO,-111
LAMR1,-140
37530,-38
SENP1,-66
WNT3,-140
C3G,-124
SOD,-134
BLNK,-122
COFILIN2,-130
CSL,-128
SHANK,-132
EF1A,-152
CCR5,-140
Gy,-64
FADD,-98
TGFBR2,-216
PDE2,-128
PTCH,-130
NEDD8,-140
HAND2,-132
GADD45,-138
RKIP,-164
RPS6,-140
PAR2,-132
Glycogen,-140
VAMP,-138
Miz1,-46
RIN1,-126
KB,-138
NASCENTCHAIN,-128
FXR,-140
IL4R,-130
MURR1,-140
4-1BBL,-138
TLR10,-116
ARF,-138
JAK1,-70
MIP1B,-140
CRKL,-142
SRE,-140
ITGA1,-130
RAP30,-38
CDC25C,-140
SH3GL3,-140
ACTN1,-132
RAIDD,-138
MINT,-130
PLD,-50
VAV,-42
HIPK2,-160
ID1,-134
ARIP2,-138
BAX,-110
CDC34,-138
AP2B1,-138
POLR2A,-136
LTYPECA,-124
ZEB1,-22
INPP5A,-100
PCAF,-16
SNAPIN,-136
RYR,-134
SMAD1,-128
E3B1,-146
SDF1,-160
DAX-1,-132
APO2L,-140
Hrk,-132
H3,-140
CLCA1,-138
SODD,-58
TP53BP1,-142
RAF1,-126
IL9,-120
LFG,-140
CRM1,-138
RLC,-140
CASP6,-116
Alg-2,-140
Cd++,-136
GAS,-140
ANKYRIN,-136
RB,-182
APOER2,-186
STRAP,-222
HIP1,-230
FRP,-210
DISHEVELED,14
S1P,-186
SPTAN1,-176
HGF,-188
TLR4,-148
PTC,-186
WNT,-42
CDK9,-52
NUP153,-234
MTOR,-186
TNFR2,-160
p53,-154
HMG2,-172
O2,-182
ID2,-388
SMAD2,-144
G1,-196
ABL1,-106
BIP,-172
KRT18,-422
ELK3,-180
MUNC13,-174
krm,-178
IKKA,-184
CCND3,-182
TREH,-178
CD19,-212
GRB2,-106
PKA,-226
FZR1,-190
mDIA,-210
CDK4,-182
TLR7,-154
TCF7,-186
PKCz,-174
G2,-178
ERBIN,-186
CHK1,-188
Sin3,-388
HBO1,-16
RAD1,-180
RPTK,-102
IL3,-178
TNF,-150
EGFR,-262
HERP1,-182
PICCOLO,-186
GTP,-178
ATF3,-246
MKP1,-168
B2AR,-202
RAL,-192
CAVEOLIN,-56
FANCD2,-186
KPNB1,-8
RASGRF,-172
Idax,-220
CHREBP,-186
RNTRE,-428
GIPC,-184
hsp70,-184
PFN1,-186
SOX1,-224
MERLIN,-184
FAN,-178
CASP7,-182
Ryk,-204
NICD,-156
SKP1,-240
M1R,-198
ARNT,-166
c-JUN,-186
ASAP1,-52
Bcl-w,-174
GCSF,-182
FAK,-256
TNIP1,-65
KV41,-171
IL13RA1,-149
RAR,-163
FZD7,-169
SH3KBP1,-87
CTNND1,-187
AFX,-149
MAP4K6,-169
CAPRI,-171
GAT1,-167
PDE1B,-161
AXIN,-165
A-Raf,-191
TLR5,-155
ID3,-311
NUMB,-181
NCK2,-117
CLCA2,-185
RANBP9,-63
NFYA,-171
CB1R,-177
ICAD,-147
RASGRP3,-171
SAC,-161
TLR3,-155
PKN2,-175
M2R,-179
WNT7A,-199
GALPHAO,-175
SMO,-229
PR-A,-175
CAMKK,-165
STAP1,-139
DYNAMIN,-373
BIK,-167
PRKCI,-173
A20,-153
DARPP-32,-167
Calpain1,-169
HES5,-195
Noxa,-169
RICS,-177
TAX,-169
IL4,-169
CAMK1,-177
MRE11,-173
SPAL,-171
MKK7,-161
FOSB,-175
RADIXIN,-175
SMAD6,-65
GLUT4,-177
IRAK4,-173
HIF1A,-161
MLK3,-177
p85,-175
GATA4,-165
ECSIT,-175
FKBP,-173
FHL1,-175
KV12,-171
FASLG,-163
TAMALIN,-159
PAX8,-177
p70s6K,-169
PP2A,-179
CALCINEURIN,-141
CNG,-175
CALM3,-139
PTK,-213
FORKHEAD,-205
P130Cas,-157
P35611,-175
CEACAM1,-85
MAML1,-163
FGF,-159
ROCK2,-155
CCT4,-177
PDK1,-171
CRIPT,-169
NIK,-120
CHLORIDE,-136
SHH,-130
ICA512,-134
MD-2,-130
EIF-4EBP,-134
TUBBY,-108
MST3,-134
ACVRL1,-128
GAB2,-10
PROKR1,-134
DCP1A,-198
AKAP15,-82
BNIP3L,-128
STAT4,-134
DAG,-48
37165,-38
DAPK,-130
ACT,-134
EGR1,-134
H1,-120
PRKCG,-118
Dynein,-88
NCK,-90
WAVE1,-102
DVL2,-282
GROUCHO,-96
MTA2,-100
ITGB4BP,-108
NFYC,-132
EIF4G,-132
CCNB1,-134
SSCAM,-120
HDAC5,-134
PP2C,-120
FANCA,-134
CTSD,-124
H2O2,-128
CCL5,-134
