Ensembl ID,Symbol,Alias symbol,Total_Support,Is Oncogene,Is Tumor Suppressor Gene,In OnkoKB,PubmedID
ENSG00000204843,DCTN1,,1808,No,No,True,"39880703, 39329254"
ENSG00000224156,TUBB,,1802,,,False,39113897
ENSG00000127329,PTPRB,PTPB,1784,No,No,True,38032480
ENSG00000280807,TUBGCP5,,1782,,,False,
ENSG00000126001,CEP250,,1780,,,False,36759599
ENSG00000213066,CEP43,"FGFR1OP, FOP",1780,No,No,True,
ENSG00000115607,IL18RAP,,1764,,,False,39265444
ENSG00000281670,CABIN1,,1752,,,False,33490650
ENSG00000285132,CTSB,,1734,,,False,40168426
ENSG00000163435,ELF3,"EPR-1, ERT, ESE-1, ESX",1732,Yes,Yes,True,40018511
ENSG00000112062,MAPK14,,1732,,,False,"35141222, 32243890, 33204153"
ENSG00000108342,CSF3,,1732,,,False,39929064
ENSG00000231268,AGER,,1728,,,False,39879317
ENSG00000114812,VIPR1,,1726,,,False,38966291
ENSG00000096384,HSP90AB1,"HSPC2, HSPCB",1724,No,No,True,"40259338, 40105114"
ENSG00000196468,FGF16,,1720,,,False,35163520
ENSG00000175634,RPS6KB2,"KLS, P70-BETA, S6KB, S6Kbeta, S6Kβ, STK14B, p70S6Kb",1716,Yes,No,True,
ENSG00000173175,ADCY5,,1716,,,False,38881911
ENSG00000115808,STRN,"PPP2R6A, STRN1",1712,No,No,True,39284095
ENSG00000257017,HP,,1710,,,False,40320500
ENSG00000068024,HDAC4,"BDMR, HA6116, HD4, HDAC-4, HDAC-A, HDACA, KIAA0288",1710,Yes,Yes,True,40222483
ENSG00000116106,EPHA4,,1708,,,False,39453390
ENSG00000143772,ITPKB,"IP3-3KB, IP3KB",1708,Yes,No,True,39298006
,ELA2,,1706,,,False,23151810
ENSG00000151914,DST,,1706,,,False,
ENSG00000129128,SPCS3,,1704,,,False,
ENSG00000129990,SYT5,,1702,,,False,30867848
ENSG00000106803,SEC61B,,1702,,,False,30962283
ENSG00000135333,EPHA7,Hek11,1700,Yes,Yes,True,39694330
ENSG00000137752,CASP1,,1698,,,False,40081691
ENSG00000232957,HLA-DOA,,1694,,,False,36968601
ENSG00000138794,CASP6,,1694,,,False,39279521
,ARMS,,1690,,,False,40324936
ENSG00000116455,WDR77,,1690,,,False,"40071854, 39499734"
ENSG00000143590,EFNA3,,1690,,,False,38925815
ENSG00000130811,EIF3G,,1688,,,False,35116824
ENSG00000112096,SOD2,,1686,,,False,"40294979, 40244057"
ENSG00000104856,RELB,,1686,,,False,39164890
,ZNF259,,1686,,,False,"29276408, 21729881"
ENSG00000166441,RPL27A,,1684,,,False,37481436
ENSG00000145592,RPL37,,1684,,,False,32133296
ENSG00000136942,RPL35,,1684,,,False,"39405776, 36628271"
ENSG00000175354,PTPN2,"PTPT, TC-PTP, TCELLPTP, TCPTP",1684,No,Yes,True,39777791
ENSG00000105640,RPL18A,,1684,,,False,35117342
ENSG00000174564,IL20RB,,1682,,,False,38903171
ENSG00000174444,RPL4,,1682,,,False,"40089132, 38938675"
ENSG00000143333,RGS16,,1682,,,False,37473526
ENSG00000134545,KLRC1,,1680,,,False,
ENSG00000119041,GTF3C3,,1680,,,False,
