Ensembl ID,Symbol,Alias symbol,Total_Support,Is Oncogene,Is Tumor Suppressor Gene,In OnkoKB,PubmedID
ENSG00000181449,SOX2,,-215,Yes,No,True,40327401
ENSG00000168610,STAT3,APRF,-217,Yes,No,True,32972405
ENSG00000233911,POU5F1,"MGC22487, OTF3, Oct4",-217,No,No,True,
ENSG00000125347,IRF1,MAR,-219,No,Yes,True,40106574
ENSG00000183023,SLC8A1,,-219,,,False,39385172
ENSG00000162594,IL23R,,-219,,,False,
ENSG00000197079,KRT35,,-219,,,False,
ENSG00000126337,KRT36,,-219,,,False,
ENSG00000162552,WNT4,,-219,,,False,39726587
ENSG00000180176,TH,,-219,,,False,"40338551, 40338545"
ENSG00000138356,AOX1,,-219,,,False,39837058
ENSG00000092067,CEBPE,,-219,,,False,37642051
ENSG00000138039,LHCGR,,-219,,,False,
ENSG00000113494,PRLR,,-219,,,False,39975183
ENSG00000147654,EBAG9,,-219,,,False,35482418
ENSG00000120833,SOCS2,"CIS2, Cish2, SOCS-2, SSI-2, SSI2, STATI2",-219,No,No,True,39922931
ENSG00000171401,KRT13,,-219,,,False,39103428
ENSG00000170677,SOCS6,,-219,,,False,"39385295, 37972389"
ENSG00000164692,COL1A2,,-219,,,False,40055751
ENSG00000091831,ESR1,"ER-alpha, ESR, Era, NR3A1",-219,Yes,No,True,"31318440, 34621045, 37864956"
ENSG00000186395,KRT10,,-219,,,False,38938545
ENSG00000171345,KRT19,,-219,,,False,40248345
ENSG00000262164,KRT39,,-219,,,False,
ENSG00000102096,PIM2,,-219,,,False,39614954
ENSG00000261986,KRT33A,,-219,,,False,
ENSG00000114737,CISH,,-219,,,False,"40315330, 40071076"
ENSG00000137275,RIPK1,,-219,,,False,40229146
ENSG00000171360,KRT38,,-219,,,False,
ENSG00000135374,ELF5,,-219,,,False,39122969
ENSG00000082175,PGR,"NR3C3, PR",-219,Yes,No,True,40160874
ENSG00000106633,GCK,,-219,,,False,39821340
ENSG00000167916,KRT24,,-219,,,False,37092360
ENSG00000204897,KRT25,,-219,,,False,
ENSG00000133101,CCNA1,,-219,,,False,39117569
ENSG00000274348,TRPV5,,-219,,,False,"39757673, 35950523"
ENSG00000171446,KRT27,,-219,,,False,
ENSG00000173908,KRT28,,-219,,,False,31580512
ENSG00000283030,CSN2,,-219,,,False,36833182
ENSG00000055332,EIF2AK2,,-219,,,False,
ENSG00000186393,KRT26,,-219,,,False,
ENSG00000109906,ZBTB16,"PLZF, ZNF145",-219,No,No,True,38654107
ENSG00000131759,RARA,NR1B1,-219,No,No,True,40214855
ENSG00000186847,KRT14,,-219,,,False,40177910
ENSG00000180008,SOCS4,,-219,,,False,"39460806, 35723400"
ENSG00000263022,KRT37,,-219,,,False,
ENSG00000160182,TFF1,,-219,,,False,39695086
ENSG00000140009,ESR2,,-219,,,False,"38513102, 35719919"
ENSG00000136826,KLF4,"EZF, GKLF",-219,Yes,Yes,True,40299916
ENSG00000070961,ATP2B1,,-219,,,False,37666951
ENSG00000133794,ARNTL,,-232,,,False,"40118351, 39853686"
ENSG00000126368,NR1D1,,-238,,,False,40002179
ENSG00000138684,IL21,,-248,,,False,40174337
ENSG00000143365,RORC,,-248,,,False,
ENSG00000080815,PSEN1,,-248,,,False,39596030
ENSG00000112115,IL17A,,-248,,,False,
ENSG00000179094,PER1,"PER, RIGUI",-248,No,No,True,40135399
ENSG00000134107,BHLHE40,,-248,,,False,"40027748, 39546079"
ENSG00000110092,CCND1,"BCL1, D11S287E, PRAD1, U21B31",-248,Yes,No,True,34294689
ENSG00000113525,IL5,,-248,,,False,
ENSG00000116815,CD58,LFA3,-248,No,Yes,True,40001116
ENSG00000179388,EGR3,,-248,,,False,39197193
ENSG00000162692,VCAM1,,-248,,,False,40140843
ENSG00000188676,IDO2,,-248,,,False,38951170
ENSG00000171855,IFNB1,,-248,,,False,39974928
ENSG00000115607,IL18RAP,,-248,,,False,39265444
ENSG00000144485,HES6,,-248,,,False,"38733993, 38504568"
ENSG00000123095,BHLHE41,,-248,,,False,"38864225, 38533496"
ENSG00000104921,FCER2,,-248,,,False,37828063
ENSG00000135547,HEY2,,-248,,,False,38066300
ENSG00000273529,HES5,,-248,,,False,38603632
ENSG00000082512,TRAF5,RNF84,-248,No,Yes,True,
ENSG00000163734,CXCL3,,-248,,,False,39737994
ENSG00000188290,HES4,,-248,,,False,38791169
ENSG00000077238,IL4R,,-248,,,False,
ENSG00000159200,RCAN1,,-248,,,False,"39361514, 38689649"
ENSG00000164683,HEY1,"CHF-2, CHF2, HERP2, HESR-1, HESR1, HRT-1, bHLHb31",-248,No,No,True,"40278892, 40117529"
ENSG00000111537,IFNG,,-248,,,False,40267906
ENSG00000138185,ENTPD1,,-248,,,False,
ENSG00000096996,IL12RB1,,-248,,,False,38923668
ENSG00000134250,NOTCH2,,-248,Yes,Yes,True,40268552
ENSG00000081985,IL12RB2,,-248,,,False,38508299
ENSG00000109471,IL2,"IL-2, TCGF",-248,No,No,True,
ENSG00000112116,IL17F,,-248,,,False,
