Ensembl ID,Symbol,Alias symbol,Total_Support,Is Oncogene,Is Tumor Suppressor Gene,In OnkoKB,PubmedID
ENSG00000068078,FGFR3,"ACH, CD333, CEK2, JTK4",1043,Yes,No,True,40295074
,C16orf24,,963,,,False,
ENSG00000163565,IFI16,,959,,,False,"39890789, 39424359"
ENSG00000160307,S100B,,957,,,False,
,HSPA9B,,957,,,False,17848953
ENSG00000167900,TK1,,953,,,False,40019713
ENSG00000197299,BLM,"BS, RECQ2, RECQL3",947,No,Yes,True,40287490
ENSG00000051180,RAD51,"BRCC5, FANCR, HsRad51, HsT16930, RAD51A, RECA",945,No,Yes,True,40302059
ENSG00000112081,SRSF3,"SFRS3, SRp20",939,No,No,True,39758250
,HRMT1L2,,939,,,False,
ENSG00000168395,ING5,,935,,,False,"39787145, 39247819"
,BAT2,,933,,,False,17827388
,TUBA3,,931,,,False,
,NP,,927,,,False,
,STX5A,,927,,,False,
ENSG00000115816,CEBPZ,,919,,,False,"38414326, 33376399"
ENSG00000105976,MET,"DFNB97, HGFR, RCCP2",917,Yes,No,True,40324118
ENSG00000163848,ZNF148,,913,,,False,37969391
ENSG00000077721,UBE2A,"HHR6A, HR6A, RAD6A, UBC2",911,Yes,No,True,38396812
ENSG00000184937,WT1,"AWT1, GUD, NPHS4, WAGR, WIT-2",909,Yes,Yes,True,40227798
ENSG00000047849,MAP4,,907,,,False,
ENSG00000213341,CHUK,,903,,,False,40067909
ENSG00000213672,NCKIPSD,,899,,,False,28652253
ENSG00000082701,GSK3B,,895,Yes,No,True,40156610
ENSG00000077097,TOP2B,,891,,,False,39863655
ENSG00000149554,CHEK1,CHK1,889,No,Yes,True,40233744
ENSG00000288325,GPS2,,883,No,Yes,True,39094987
ENSG00000288114,GTF2H1,,883,,,False,36961799
ENSG00000135597,REPS1,,883,,,False,34885215
ENSG00000127445,PIN1,,883,,,False,"40251462, 40125575"
ENSG00000142173,COL6A2,,881,,,False,39017768
ENSG00000143514,TP53BP2,,881,,,False,35537551
ENSG00000037280,FLT4,"VEGFR-3, VEGFR3",881,Yes,No,True,"40292403, 39701787"
ENSG00000163161,ERCC3,"RAD25, XPB",879,No,Yes,True,"39742368, 39519399"
ENSG00000100644,HIF1A,"HIF-1alpha, HIF1, MOP1, PASD8, bHLHe78",873,Yes,No,True,"37816999, 30081903"
,NALP12,,871,,,False,
ENSG00000153487,ING1,"p24ING1c, p33, p33ING1, p33ING1b, p47, p47ING1a",869,No,Yes,True,37459799
ENSG00000167658,EEF2,,865,,,False,40151001
